Start (s),End (s),Scientific name,Common name,Confidence,File
753.0,756.0,Spinus spinus,Eurasian Siskin,0.1920,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
852.0,855.0,Spinus spinus,Eurasian Siskin,0.2626,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
954.0,957.0,Spinus spinus,Eurasian Siskin,0.5353,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
957.0,960.0,Acanthis flammea,Common Redpoll,0.1888,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
969.0,972.0,Acanthis flammea,Common Redpoll,0.1085,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1134.0,1137.0,Erithacus rubecula,European Robin,0.2691,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1152.0,1155.0,Erithacus rubecula,European Robin,0.1537,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1314.0,1317.0,Erithacus rubecula,European Robin,0.1635,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1317.0,1320.0,Erithacus rubecula,European Robin,0.1023,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1323.0,1326.0,Erithacus rubecula,European Robin,0.1130,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1350.0,1353.0,Erithacus rubecula,European Robin,0.2904,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1359.0,1362.0,Periparus ater,Coal Tit,0.1734,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1368.0,1371.0,Erithacus rubecula,European Robin,0.1888,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1386.0,1389.0,Erithacus rubecula,European Robin,0.3549,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1398.0,1401.0,Erithacus rubecula,European Robin,0.2853,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1419.0,1422.0,Erithacus rubecula,European Robin,0.4167,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1443.0,1446.0,Erithacus rubecula,European Robin,0.2845,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1449.0,1452.0,Erithacus rubecula,European Robin,0.3442,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1482.0,1485.0,Spinus spinus,Eurasian Siskin,0.1919,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1494.0,1497.0,Spinus spinus,Eurasian Siskin,0.5212,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1500.0,1503.0,Erithacus rubecula,European Robin,0.1131,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1518.0,1521.0,Erithacus rubecula,European Robin,0.1205,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1539.0,1542.0,Erithacus rubecula,European Robin,0.7564,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1548.0,1551.0,Erithacus rubecula,European Robin,0.2207,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1560.0,1563.0,Erithacus rubecula,European Robin,0.1889,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1569.0,1572.0,Erithacus rubecula,European Robin,0.2773,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1578.0,1581.0,Fringilla coelebs,Common Chaffinch,0.2307,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1584.0,1587.0,Erithacus rubecula,European Robin,0.2435,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1590.0,1593.0,Erithacus rubecula,European Robin,0.1986,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1602.0,1605.0,Erithacus rubecula,European Robin,0.1185,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1611.0,1614.0,Erithacus rubecula,European Robin,0.3314,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1641.0,1644.0,Lophophanes cristatus,Crested Tit,0.8003,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1662.0,1665.0,Erithacus rubecula,European Robin,0.3792,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
1686.0,1689.0,Erithacus rubecula,European Robin,0.1132,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
