Start (s),End (s),Scientific name,Common name,Confidence,File
147.0,150.0,Spinus spinus,Eurasian Siskin,0.4697,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
150.0,153.0,Spinus spinus,Eurasian Siskin,0.2590,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
159.0,162.0,Spinus spinus,Eurasian Siskin,0.1352,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
165.0,168.0,Spinus spinus,Eurasian Siskin,0.8641,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
177.0,180.0,Spinus spinus,Eurasian Siskin,0.4894,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
189.0,192.0,Spinus spinus,Eurasian Siskin,0.1600,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
198.0,201.0,Spinus spinus,Eurasian Siskin,0.1580,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
213.0,216.0,Spinus spinus,Eurasian Siskin,0.1593,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
225.0,228.0,Spinus spinus,Eurasian Siskin,0.3473,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
234.0,237.0,Spinus spinus,Eurasian Siskin,0.4672,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
240.0,243.0,Spinus spinus,Eurasian Siskin,0.1532,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
243.0,246.0,Spinus spinus,Eurasian Siskin,0.2180,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
267.0,270.0,Spinus spinus,Eurasian Siskin,0.2826,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
279.0,282.0,Spinus spinus,Eurasian Siskin,0.1505,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
285.0,288.0,Spinus spinus,Eurasian Siskin,0.1212,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
300.0,303.0,Spinus spinus,Eurasian Siskin,0.1848,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
309.0,312.0,Spinus spinus,Eurasian Siskin,0.3149,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
351.0,354.0,Fringilla coelebs,Common Chaffinch,0.6813,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
405.0,408.0,Erithacus rubecula,European Robin,0.1359,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
414.0,417.0,Erithacus rubecula,European Robin,0.1623,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
498.0,501.0,Spinus spinus,Eurasian Siskin,0.1541,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
501.0,504.0,Spinus spinus,Eurasian Siskin,0.1206,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
561.0,564.0,Erithacus rubecula,European Robin,0.1065,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
567.0,570.0,Erithacus rubecula,European Robin,0.1231,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
591.0,594.0,Erithacus rubecula,European Robin,0.1328,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
636.0,639.0,Erithacus rubecula,European Robin,0.1537,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
702.0,705.0,Spinus spinus,Eurasian Siskin,0.1100,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmpgjjg3q45/converted.wav
