Start (s),End (s),Scientific name,Common name,Confidence,File
168.0,171.0,Turdus pilaris,Fieldfare,0.2542,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
171.0,174.0,Turdus pilaris,Fieldfare,0.5654,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
174.0,177.0,Turdus pilaris,Fieldfare,0.2454,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
186.0,189.0,Turdus pilaris,Fieldfare,0.2990,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
195.0,198.0,Turdus pilaris,Fieldfare,0.6206,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
216.0,219.0,Turdus pilaris,Fieldfare,0.4278,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
225.0,228.0,Turdus pilaris,Fieldfare,0.3354,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
261.0,264.0,Spinus spinus,Eurasian Siskin,0.6366,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
597.0,600.0,Turdus pilaris,Fieldfare,0.2247,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
660.0,663.0,Turdus pilaris,Fieldfare,0.2358,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
693.0,696.0,Turdus pilaris,Fieldfare,0.6789,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
708.0,711.0,Turdus pilaris,Fieldfare,0.4672,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
717.0,720.0,Turdus pilaris,Fieldfare,0.2082,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
789.0,792.0,Chroicocephalus ridibundus,Black-headed Gull,0.3237,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
969.0,972.0,Turdus pilaris,Fieldfare,0.2334,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
987.0,990.0,Turdus pilaris,Fieldfare,0.3184,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
1074.0,1077.0,Turdus pilaris,Fieldfare,0.2818,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
1095.0,1098.0,Turdus pilaris,Fieldfare,0.4829,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
1206.0,1209.0,Turdus pilaris,Fieldfare,0.3132,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
1386.0,1389.0,Turdus pilaris,Fieldfare,0.2304,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
1398.0,1401.0,Erithacus rubecula,European Robin,0.3208,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
1560.0,1563.0,Erithacus rubecula,European Robin,0.2196,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
1563.0,1566.0,Erithacus rubecula,European Robin,0.2523,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp03mamg59/converted.wav
