Start (s),End (s),Scientific name,Common name,Confidence,File
1011.0,1014.0,Fringilla coelebs,Common Chaffinch,0.2036,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1014.0,1017.0,Fringilla coelebs,Common Chaffinch,0.3586,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1017.0,1020.0,Fringilla coelebs,Common Chaffinch,0.2775,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1032.0,1035.0,Erithacus rubecula,European Robin,0.2862,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1053.0,1056.0,Fringilla coelebs,Common Chaffinch,0.2697,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1062.0,1065.0,Fringilla coelebs,Common Chaffinch,0.6199,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1065.0,1068.0,Fringilla coelebs,Common Chaffinch,0.2025,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1308.0,1311.0,Turdus pilaris,Fieldfare,0.3564,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1341.0,1344.0,Spinus spinus,Eurasian Siskin,0.9756,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1362.0,1365.0,Erithacus rubecula,European Robin,0.2088,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1371.0,1374.0,Erithacus rubecula,European Robin,0.3332,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
1482.0,1485.0,Pica pica,Eurasian Magpie,0.2576,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
